Branch,Job_Role,Required_Skills
Robotics,Computer Vision Engineer,"OpenCV, Deep Learning, Image Processing, SLAM, Python, Neural Networks, Linear Algebra"
Hotel Management,Hotel Manager,"Property Management, Revenue Management, Guest Relations, Hospitality Standards, Staff Supervision"
UPSC,IPS Officer,"Law Enforcement, Internal Security, Investigation, Criminology, Public Order Management"
Robotics,Robotics Engineer,"ROS, C++, Kinematics, Control Systems, Machine Learning, Mechanical Design, Sensor Fusion"
Law,Litigation Lawyer,"Advocacy, Evidence Act, Pleading, Court Procedures, Mediation, Client Counseling"
Computer Science,Full Stack Developer,"HTML, CSS, JavaScript, React/Angular, Node.js, Express, MongoDB/SQL, REST APIs, Deployment"
UPSC,IRS Officer,"Revenue Management, Taxation Laws, Economic Intelligence, Customs & Excise, Financial Investigation"
Design,Fashion Designer,"Apparel Design, Sketching, Textile Knowledge, Pattern Making, Fashion Trends, Garment Construction"
UPSC,IFS Officer,"Diplomacy, Foreign Policy, International Relations, Negotiation, Cultural Intelligence"
Management,HR Manager,"Talent Acquisition, Employee Engagement, Payroll Management, Labor Laws, Performance Appraisal, Conflict Resolution"
Education,Curriculum Developer,"Instructional Design, Learning Outcomes, Educational Psychology, Content Creation, Pedagogy"
Banking,Branch Manager,"Operational Excellence, Team Leadership, Sales Management, Banking Compliance, Customer Retention"
Commerce,Auditor,"Internal Audit, Risk Assessment, Compliance Testing, Verification, Financial Analysis, Reporting"
Computer Science,AI Engineer,"Python, PyTorch/TensorFlow, Linear Algebra, Neural Networks, Computer Vision, Natural Language Processing"
Education,School Principal,"Institutional Leadership, Budgeting, Educational Policy, Staff Recruitment, Community Engagement"
Agriculture,Farm Manager,"Operations Management, Supply Chain, Agricultural Finance, Labour Management, Equipment Maintenance"
Education,Curriculum Developer,"Instructional Design, Learning Outcomes, Educational Psychology, Content Creation, Pedagogy"
Civil Engineering,Site Engineer,"Execution Management, Surveying, Quality Control, Safety Supervision, Material Management"
Education,Curriculum Developer,"Instructional Design, Learning Outcomes, Educational Psychology, Content Creation, Pedagogy"
Medical,Pediatrician,"Child Development, Neonatal Care, Immunization, Pediatric Diagnosis, Patient Counseling, Nutrition"
Education,E-learning Specialist,"LMS Management, SCORM/AICC, Multimedia Content Creation, Instructional Design, Gamification"
Law,Compliance Officer,"Regulatory Monitoring, Risk Assessment, AML/KYC, Policy Drafting, Internal Controls, Reporting"
Hotel Management,Front Office Manager,"Opera/PMS, Reservation Management, Customer Relations, Upselling, Billing & Auditing"
UPSC,Public Policy Analyst,"Data Analysis, Policy Evaluation, Socio-economic Research, Report Writing, Stakeholder Engagement"
Agriculture,Farm Manager,"Operations Management, Supply Chain, Agricultural Finance, Labour Management, Equipment Maintenance"
Law,Compliance Officer,"Regulatory Monitoring, Risk Assessment, AML/KYC, Policy Drafting, Internal Controls, Reporting"
Civil Engineering,Site Engineer,"Execution Management, Surveying, Quality Control, Safety Supervision, Material Management"
Agriculture,Agricultural Consultant,"Farming Strategy, Soil Testing Interpretation, Subsidy Knowledge, Organic Standards, Agri-Business Planning"
Medical,Pediatrician,"Child Development, Neonatal Care, Immunization, Pediatric Diagnosis, Patient Counseling, Nutrition"
Computer Science,Backend Developer,"Java/Go/Python, SQL, NoSQL (Redis/MongoDB), Microservices, API Design, Docker, Message Queues (Kafka)"
Law,Compliance Officer,"Regulatory Monitoring, Risk Assessment, AML/KYC, Policy Drafting, Internal Controls, Reporting"
Civil Engineering,Construction Manager,"Project Scheduling, Cost Control, Resource Allocation, Contract Management, Primavera/MS Project"
Information Technology,IT Support Specialist,"Technical Troubleshooting, Hardware Maintenance, OS Installation, Customer Support, ITIL, ServiceNow"
Education,Academic Coordinator,"Curriculum Development, Teacher Training, Assessment Design, Accreditation, Parent-Teacher Relations"
Pharmacy,Medical Representative,"Product Knowledge, Sales & Marketing, Communication, Relationship Management, Market Research"
Pharmacy,Pharmacologist,"Drug Action Research, Toxicology, Molecular Biology, Clinical Trials, Pharmacokinetics, Lab Operations"
Computer Science,Software Engineer,"Java, Python, Data Structures, Algorithms, System Design, Git, Unit Testing, Agile Methodology"
Robotics,Embedded Systems Developer,"C/C++, Microcontrollers, RTOS, Device Drivers, Hardware Interfacing, PCB Design"
Medical,Pediatrician,"Child Development, Neonatal Care, Immunization, Pediatric Diagnosis, Patient Counseling, Nutrition"
Law,Corporate Lawyer,"Contract Drafting, Mergers & Acquisitions, Due Diligence, Company Law, Compliance, Negotiation"
Law,Legal Consultant,"Legal Research, Policy Analysis, Regulatory Compliance, Legal Opinion Writing, Dispute Resolution"
Computer Science,Software Engineer,"Java, Python, Data Structures, Algorithms, System Design, Git, Unit Testing, Agile Methodology"
Agriculture,Farm Manager,"Operations Management, Supply Chain, Agricultural Finance, Labour Management, Equipment Maintenance"
Medical,Medical Researcher,"Laboratory Techniques, Clinical Trials, Data Analysis (SPSS/SAS), Grant Writing, Biochemistry, Scientific Ethics"
Law,Compliance Officer,"Regulatory Monitoring, Risk Assessment, AML/KYC, Policy Drafting, Internal Controls, Reporting"
Environmental Science,Sustainability Manager,"ESG Reporting, CSR Strategy, Carbon Footprint Analysis, Resource Efficiency, Stakeholder Reporting"
Medical,Pediatrician,"Child Development, Neonatal Care, Immunization, Pediatric Diagnosis, Patient Counseling, Nutrition"
Robotics,Automation Developer,"PLC Programming, SCADA, Industrial IoT, Python, Machine Vision, Process Control"
Media,Content Strategist,"SEO, Content Auditing, Planning, UX Writing, Copywriting, Audience Analysis, Analytics"
Design,Fashion Designer,"Apparel Design, Sketching, Textile Knowledge, Pattern Making, Fashion Trends, Garment Construction"
UPSC,IPS Officer,"Law Enforcement, Internal Security, Investigation, Criminology, Public Order Management"
Computer Science,Data Scientist,"Python, R, Statistics, Machine Learning, SQL, Data Visualization (Tableau/PowerBI), Deep Learning, Big Data"
Law,Legal Consultant,"Legal Research, Policy Analysis, Regulatory Compliance, Legal Opinion Writing, Dispute Resolution"
Information Technology,System Administrator,"Linux/Windows Server, Shell Scripting, Networking, Active Directory, Virtualization (VMware/KVM), Security Patching"
Medical,Surgeon,"Surgical Procedures, Anatomy, Pre-operative Care, Medical Imaging Interpretation, Specialized Tool Handling"
Commerce,Auditor,"Internal Audit, Risk Assessment, Compliance Testing, Verification, Financial Analysis, Reporting"
Agriculture,Agronomist,"Soil Science, Crop Rotation, Pest Management, Irrigation Systems, Seed Technology, Climate Resilience"
Civil Engineering,Structural Engineer,"STAAD.Pro/ETABS, RCC Design, Steel Structures, AutoCAD, Load Calculations, Building Codes"
Design,Graphic Designer,"Adobe Illustrator/Photoshop, Branding, Typography, Layout Design, Motion Graphics, Print Media"
Law,IPR Lawyer,"Patent Drafting, Trademark Prosecution, Copyright Law, Intellectual Property Strategy, Licensing"
Information Technology,Cloud Architect,"AWS/Azure/GCP, Terraform, Kubernetes, Docker, Cloud Security, Serverless Computing, Infrastructure as Code"
Design,UI/UX Designer,"Figma, User Research, Wireframing, Prototyping, Usability Testing, Visual Design, Information Architecture"
Environmental Science,EHS Officer,"Industrial Safety, ISO 14001/45001, Risk Assessment, Compliance, Incident Investigation, Training"
Pharmacy,Medical Representative,"Product Knowledge, Sales & Marketing, Communication, Relationship Management, Market Research"
